repo,pr_number,title,status,created_at,closed_at,merged_at,analysis_time_hours,files_changed,lines_added,lines_removed,body_length,participants_count,comments_count,reviews_count
Significant-Gravitas/AutoGPT,13009,feat(backend/executor): persist activity-status LLM cost to PlatformCostLog,MERGED,2026-05-05T16:13:39Z,2026-05-05T23:04:41Z,2026-05-05T23:04:41Z,6.8506,3,297,4,4305,1,3,9
Significant-Gravitas/AutoGPT,13004,feat(platform): yearly Stripe billing — pricing + frontend hookup,MERGED,2026-05-04T23:40:32Z,2026-05-05T08:22:45Z,2026-05-05T08:22:45Z,8.7036,28,3947,365,8477,1,50,19
Significant-Gravitas/AutoGPT,13003,fix(backend): bill Pro→Max upgrades immediately with payment failure rollback,MERGED,2026-05-04T23:22:57Z,2026-05-05T01:25:30Z,2026-05-05T01:25:30Z,2.0425,4,331,11,3494,1,4,12
Significant-Gravitas/AutoGPT,13002,feat(backend/copilot): dynamic max_budget_usd for SDK; parity budget hint for baseline,MERGED,2026-05-04T23:10:10Z,2026-05-05T00:45:40Z,2026-05-05T00:45:40Z,1.5917,7,534,4,3605,1,4,17
Significant-Gravitas/AutoGPT,12996,fix(frontend): remove country selector from onboarding step 4,MERGED,2026-05-04T16:35:59Z,2026-05-05T03:27:32Z,2026-05-05T03:27:32Z,10.8592,4,0,149,932,3,4,2
Significant-Gravitas/AutoGPT,12995,feat(backend/copilot): adopt mentioned Discord threads,MERGED,2026-05-04T15:55:08Z,2026-05-04T19:43:52Z,2026-05-04T19:43:52Z,3.8122,5,220,11,2210,2,4,3
Significant-Gravitas/AutoGPT,12994,fix(backend/copilot): stop bot setup prompts in unrelated threads,MERGED,2026-05-04T15:42:58Z,2026-05-04T17:04:42Z,2026-05-04T17:04:42Z,1.3622,2,23,14,1628,2,2,2
Significant-Gravitas/AutoGPT,12992,fix(backend/copilot): re-prompt on thinking-only finish; route storage-limit through DB-manager,MERGED,2026-05-04T12:28:38Z,2026-05-05T02:17:04Z,2026-05-05T02:17:04Z,13.8072,7,1630,593,4301,2,10,40
Significant-Gravitas/AutoGPT,12990,fix(backend/copilot/rate_limit): fail-closed on Redis unavailable to prevent USD-cap bypass,MERGED,2026-05-04T02:52:30Z,2026-05-04T04:38:56Z,2026-05-04T04:38:56Z,1.7739,9,388,34,3925,1,8,18
Significant-Gravitas/AutoGPT,12988,feat: add YouTubeTranscriptSummarizerBlock (no proxy required),CLOSED,2026-05-02T19:14:00Z,2026-05-03T23:42:43Z,,28.4786,5,627,0,1107,3,5,3
Significant-Gravitas/AutoGPT,12985,feat(frontend): vary daily-limit popup CTA by plan (SECRT-2314),MERGED,2026-05-02T07:12:24Z,2026-05-02T15:32:05Z,2026-05-02T15:32:05Z,8.3281,4,200,17,3037,1,3,1
Significant-Gravitas/AutoGPT,12984,"fix(frontend): settings v2 QA pass — dialog padding, billing tab restore, auto-refill defaults",MERGED,2026-05-02T04:32:52Z,2026-05-02T08:09:42Z,2026-05-02T08:09:42Z,3.6139,12,300,76,5042,2,5,12
Significant-Gravitas/AutoGPT,12983,Claude/crypto signal dashboard j dsgt,CLOSED,2026-05-02T02:31:24Z,2026-05-02T07:09:21Z,,4.6325,7,864,4,1664,3,3,1
Significant-Gravitas/AutoGPT,12980,fix(frontend): persist onboarding store + skip Stripe on LOCAL,MERGED,2026-05-01T14:49:20Z,2026-05-01T16:16:34Z,2026-05-01T16:16:34Z,1.4539,11,220,101,4962,1,4,8
Significant-Gravitas/AutoGPT,12979,refactor(platform): creator dashboard polish + MCP setup + settings link cleanup,MERGED,2026-05-01T14:42:34Z,2026-05-01T18:10:25Z,2026-05-01T18:10:25Z,3.4642,43,1321,719,5161,2,3,21
Significant-Gravitas/AutoGPT,12978,feat(frontend): connect onboarding SubscriptionStep to Stripe Checkout,MERGED,2026-05-01T06:36:45Z,2026-05-01T11:44:46Z,2026-05-01T11:44:46Z,5.1336,10,517,118,3346,1,5,21
Significant-Gravitas/AutoGPT,12977,docs: Changelog April 10 – May 1 2026 (v0.6.55–v0.6.58),MERGED,2026-05-01T04:25:32Z,2026-05-01T16:20:30Z,2026-05-01T16:20:30Z,11.9161,7,56,0,966,3,1,2
Significant-Gravitas/AutoGPT,12976,"refactor(frontend): settings v2 cleanup — sidebar, account route, headers, wallet",MERGED,2026-05-01T04:25:11Z,2026-05-01T12:00:23Z,2026-05-01T12:00:23Z,7.5867,41,431,457,4257,2,7,17
Significant-Gravitas/AutoGPT,12974,hotfix(platform): align 'Complete onboarding' wallet task and normalize reward amounts,MERGED,2026-05-01T04:14:26Z,2026-05-01T09:39:15Z,2026-05-01T09:39:15Z,5.4136,3,74,12,4997,4,3,9
Significant-Gravitas/AutoGPT,12973,Update daily limit popup to new design (SECRT-2294),MERGED,2026-05-01T01:09:42Z,2026-05-01T03:47:02Z,2026-05-01T03:47:02Z,2.6222,4,216,162,2228,3,6,15
Significant-Gravitas/AutoGPT,12972,chore: update subscription screen plan copy,MERGED,2026-04-30T21:26:34Z,2026-05-01T01:25:59Z,2026-05-01T01:25:59Z,3.9903,1,17,17,1186,2,2,2
Significant-Gravitas/AutoGPT,12970,fix(frontend): change onboarding checklist labels,MERGED,2026-04-30T20:23:21Z,2026-05-01T02:41:53Z,2026-05-01T02:41:53Z,6.3089,1,2,2,1994,2,6,2
Significant-Gravitas/AutoGPT,12969,refactor(backend): remove BetaUserCredit monthly credit refill (hotfix),MERGED,2026-04-30T20:15:10Z,2026-05-01T09:58:47Z,2026-05-01T09:58:47Z,13.7269,6,41,190,7962,2,2,1
Significant-Gravitas/AutoGPT,12968,refactor(platform): remove 4 earn-credits onboarding checklist items,MERGED,2026-04-30T20:15:09Z,2026-05-01T06:21:33Z,2026-05-01T06:21:33Z,10.1067,7,0,123,3841,2,3,1
Significant-Gravitas/AutoGPT,12967,hotfix(backend): remove $5 VISIT_COPILOT signup grant,CLOSED,2026-04-30T20:09:04Z,2026-05-01T09:42:23Z,,13.5553,2,26,4,2543,2,7,1
Significant-Gravitas/AutoGPT,12964,fix(export): parse Prisma raw timestamptz strings in copilot weekly usage,MERGED,2026-04-30T19:38:24Z,2026-04-30T22:02:46Z,2026-04-30T22:02:46Z,2.4061,3,11,5,1598,1,5,1
Significant-Gravitas/AutoGPT,12962,fix(backend): hide orphaned inactive top-ups from admin spending + handle checkout.session.expired,CLOSED,2026-04-30T15:42:20Z,2026-05-01T11:50:01Z,,20.1281,4,222,1,6562,1,4,1
Significant-Gravitas/AutoGPT,12959,fix(backend/credit): reserve TOP_UP for real Stripe checkouts; refunds use grant_credits,MERGED,2026-04-30T13:15:39Z,2026-04-30T18:18:03Z,2026-04-30T18:18:03Z,5.04,8,179,7,3356,1,6,6
Significant-Gravitas/AutoGPT,12958,feat(platform): admin CSV exports — credit transactions + copilot weekly usage,MERGED,2026-04-30T13:15:29Z,2026-04-30T18:21:44Z,2026-04-30T18:21:44Z,5.1042,13,2142,3,3196,1,7,46
Significant-Gravitas/AutoGPT,12950,fix(backend): run copilot executor in foreground,MERGED,2026-04-30T05:14:06Z,2026-04-30T14:07:44Z,2026-04-30T14:07:43Z,8.8936,1,1,1,696,3,2,2
Significant-Gravitas/AutoGPT,12948,"fix(copilot): bundle of chat stream stability fixes (PK dedup, race, compaction, errors, chips)",MERGED,2026-04-30T03:27:59Z,2026-04-30T18:03:00Z,2026-04-30T18:03:00Z,14.5836,28,1597,369,6185,1,14,36
Significant-Gravitas/AutoGPT,12947,fix(platform): cancel-banner copy + clearer 422 on currency mismatch,MERGED,2026-04-30T01:13:39Z,2026-04-30T03:25:03Z,2026-04-30T03:25:03Z,2.19,5,126,10,2974,1,3,3
Significant-Gravitas/AutoGPT,12943,feat(frontend): gate onboarding SubscriptionStep behind ENABLE_PLATFORM_PAYMENT,MERGED,2026-04-29T14:44:44Z,2026-04-29T16:12:05Z,2026-04-29T16:12:04Z,1.4556,4,229,31,3368,1,2,15
Significant-Gravitas/AutoGPT,12942,feat(frontend): settings v2 billing page (subscription + automation credits),MERGED,2026-04-29T12:38:22Z,2026-04-30T12:29:28Z,2026-04-30T12:29:27Z,23.8514,33,4066,25,4450,3,11,68
Significant-Gravitas/AutoGPT,12937,fix(platform): small fixes and stagger animations on settings pages,MERGED,2026-04-28T11:59:47Z,2026-04-28T17:06:52Z,2026-04-28T17:06:52Z,5.1181,11,306,95,4942,2,3,16
Significant-Gravitas/AutoGPT,12935,feat(onboarding): add subscription plan selection step,MERGED,2026-04-28T10:22:19Z,2026-04-29T14:26:19Z,2026-04-29T14:26:19Z,28.0667,17,1102,20,1674,3,3,37
Significant-Gravitas/AutoGPT,12934,feat(frontend): creator dashboard page for settings v2 (SECRT-2281),MERGED,2026-04-28T04:32:08Z,2026-04-28T17:12:05Z,2026-04-28T17:12:05Z,12.6658,22,3421,11,2610,2,4,39
Significant-Gravitas/AutoGPT,12933,feat(platform): subscription credit grants + paywall gate + dialog UX + cross-pod cache,MERGED,2026-04-28T02:35:35Z,2026-04-29T16:15:30Z,2026-04-29T16:15:30Z,37.6653,23,1110,163,9454,1,10,23
Significant-Gravitas/AutoGPT,12932,"fix(backend/copilot): normalize model name based on actual transport, not config shape",MERGED,2026-04-28T02:34:58Z,2026-04-28T04:40:32Z,2026-04-28T04:40:32Z,2.0928,5,294,57,2752,1,4,13
Significant-Gravitas/AutoGPT,12927,fix(backend/copilot): pause idle timer during pending tools,MERGED,2026-04-27T14:31:47Z,2026-04-28T02:07:17Z,2026-04-28T02:07:17Z,11.5917,2,85,24,1490,1,5,9
Significant-Gravitas/AutoGPT,12926,fix(backend/copilot): surface empty-success ResultMessage as stream error (SECRT-2252),MERGED,2026-04-27T14:18:45Z,2026-04-27T17:37:35Z,2026-04-27T17:37:35Z,3.3139,4,172,1,1819,2,6,9
Significant-Gravitas/AutoGPT,12925,feat(frontend): preferences v2 page (SECRT-2279),MERGED,2026-04-27T13:15:15Z,2026-04-27T15:28:10Z,2026-04-27T15:28:09Z,2.215,15,1671,19,4892,2,3,35
Significant-Gravitas/AutoGPT,12924,feat(frontend): add settings v2 profile page,MERGED,2026-04-27T07:11:05Z,2026-04-27T10:46:55Z,2026-04-27T10:46:55Z,3.5972,13,1927,27,4232,2,5,19
Significant-Gravitas/AutoGPT,12921,fix(frontend): filter null query params in buildUrlWithQuery (#11237),MERGED,2026-04-25T09:15:49Z,2026-04-27T06:43:48Z,2026-04-27T06:43:48Z,45.4664,2,35,3,342,2,4,1
Significant-Gravitas/AutoGPT,12920,fix(frontend): redirect www to non-www with 308 to preserve request method (#9188),MERGED,2026-04-25T09:15:39Z,2026-04-27T06:51:07Z,2026-04-27T06:51:07Z,45.5911,2,58,1,476,2,4,3
Significant-Gravitas/AutoGPT,12919,fix(backend/notifications): atomic upsert + drop eager include,MERGED,2026-04-25T03:38:50Z,2026-04-25T06:28:29Z,2026-04-25T06:28:29Z,2.8275,2,296,49,958,1,3,8
Significant-Gravitas/AutoGPT,12918,fix(backend/copilot): preserve interrupted SDK partial work on final-failure exit,MERGED,2026-04-25T01:20:32Z,2026-04-25T07:21:19Z,2026-04-25T07:21:18Z,6.0128,6,690,82,7568,2,6,19
Significant-Gravitas/AutoGPT,12917,refactor(platform/copilot): consolidate 4 model-routing LD flags into 1 JSON flag,MERGED,2026-04-24T23:36:03Z,2026-04-25T01:15:37Z,2026-04-25T01:15:37Z,1.6594,6,282,96,3983,1,3,6
Significant-Gravitas/AutoGPT,12915,refactor(platform): consolidate 6 LD flags into 2 JSON flags,MERGED,2026-04-24T16:14:48Z,2026-04-24T23:08:10Z,2026-04-24T23:08:10Z,6.8894,5,404,73,3169,1,3,6
