repo,pr_number,title,status,created_at,closed_at,merged_at,analysis_time_hours,files_changed,lines_added,lines_removed,body_length,participants_count,comments_count,reviews_count
openclaw/openclaw,77840,fix(embed): arm lastBlockReplyText only after block reply emission,MERGED,2026-05-05T12:47:50Z,2026-05-05T15:50:40Z,2026-05-05T15:50:39Z,3.0469,3,30,3,2281,3,3,1
openclaw/openclaw,77839,fix(agents): persist embedded session JSONL transcripts (#77823),MERGED,2026-05-05T12:45:50Z,2026-05-05T16:05:09Z,2026-05-05T16:05:09Z,3.3219,6,253,43,2219,2,3,1
openclaw/openclaw,77818,[AI-assisted] fix: throw on registerTool without contracts.tools instead of silent failure,CLOSED,2026-05-05T11:24:16Z,2026-05-05T13:03:22Z,,1.6517,2,13,5,1861,2,2,2
openclaw/openclaw,77754,fix: avoid duplicate media completion fallback,MERGED,2026-05-05T08:07:05Z,2026-05-05T17:11:31Z,2026-05-05T17:11:31Z,9.0739,2,62,1,345,2,2,2
openclaw/openclaw,77713,test: expand Slack live QA coverage,MERGED,2026-05-05T06:01:30Z,2026-05-05T23:11:08Z,2026-05-05T23:11:08Z,17.1606,3,379,105,2348,2,1,6
openclaw/openclaw,77688,fix(doctor): avoid impossible device token rotation advice,MERGED,2026-05-05T04:41:17Z,2026-05-05T07:02:24Z,2026-05-05T07:02:24Z,2.3519,3,34,10,10907,2,3,1
openclaw/openclaw,77686,fix: recover Slack channel restart after stop timeout,MERGED,2026-05-05T04:33:49Z,2026-05-05T05:47:30Z,2026-05-05T05:47:30Z,1.2281,5,128,13,3601,1,1,1
openclaw/openclaw,77650,fix(sessions): avoid per-row model resolution when selected model metadata is persisted,MERGED,2026-05-05T03:07:32Z,2026-05-05T06:26:50Z,2026-05-05T06:26:50Z,3.3217,2,39,3,8302,3,3,4
openclaw/openclaw,77617,fix: expose ollama thinking profile before activation,MERGED,2026-05-05T01:15:57Z,2026-05-05T07:13:53Z,2026-05-05T07:13:53Z,5.9656,4,34,8,2239,3,4,1
openclaw/openclaw,77565,fix(doctor): clear stale Codex session state,MERGED,2026-05-04T22:31:14Z,2026-05-05T00:51:24Z,2026-05-05T00:51:24Z,2.3361,14,912,19,1404,1,1,4
