repo,pr_number,title,status,created_at,closed_at,merged_at,analysis_time_hours,files_changed,lines_added,lines_removed,body_length,participants_count,comments_count,reviews_count
langflow-ai/langflow,12985,feat(assistant): Add Refresh List and Manage Model Providers to model selector,MERGED,2026-05-05T14:54:27Z,2026-05-05T19:49:53Z,2026-05-05T19:49:53Z,4.9239,6,169,85,441,2,3,1
langflow-ai/langflow,12982,refactor: Migrate agent execution to LangChain 1.0 graph API,CLOSED,2026-05-05T13:17:29Z,2026-05-05T21:25:37Z,,8.1356,57,5236,425,2337,3,4,5
langflow-ai/langflow,12973,fix(frontend): render node dropdowns above build/notification overlays,MERGED,2026-05-04T17:12:47Z,2026-05-05T14:58:49Z,2026-05-05T14:58:49Z,21.7672,3,25,2,3282,2,3,1
langflow-ai/langflow,12972,fix(ui): Hide native Edge password reveal icon on desktop,MERGED,2026-05-04T16:51:51Z,2026-05-04T20:04:09Z,2026-05-04T20:04:09Z,3.205,1,8,0,302,3,3,1
langflow-ai/langflow,12971,fix(model-input): hide wrench when saved model's provider is configured,MERGED,2026-05-04T16:51:32Z,2026-05-05T00:36:39Z,2026-05-05T00:36:38Z,7.7517,5,349,46,3812,2,3,1
langflow-ai/langflow,12970,docs: deprecate voice to voice websocket endpoint,MERGED,2026-05-04T16:09:57Z,2026-05-05T14:58:49Z,2026-05-05T14:58:49Z,22.8144,3,30,17,6,4,5,3
langflow-ai/langflow,12957,ui: refine MCP Server tab layout and alignment,CLOSED,2026-05-02T00:05:50Z,2026-05-05T00:26:49Z,,72.3497,6,83,39,1973,1,4,1
langflow-ai/langflow,12954,fix: missing error message,CLOSED,2026-05-01T21:30:59Z,2026-05-04T15:27:45Z,,65.9461,2,19,4,425,2,3,1
langflow-ai/langflow,12953,chore: Remove the diskcache dependency,MERGED,2026-04-30T23:25:35Z,2026-05-01T16:04:30Z,2026-05-01T16:04:30Z,16.6486,11,148,286,5174,2,4,1
langflow-ai/langflow,12952,"feat(lfx): extension manifest schema, validate CLI, and error formatter (LE-1014)",MERGED,2026-04-30T21:13:27Z,2026-05-05T19:08:58Z,2026-05-05T19:08:58Z,117.9253,13,2718,0,6876,2,4,9
langflow-ai/langflow,12951,chore: update deps,MERGED,2026-04-30T20:44:00Z,2026-05-01T16:43:32Z,2026-05-01T16:43:32Z,19.9922,4,1225,1218,11,2,5,1
langflow-ai/langflow,12949,fix(deployments): rename env labels,MERGED,2026-04-30T18:19:22Z,2026-05-04T13:26:06Z,2026-05-04T13:26:06Z,91.1122,4,9,3,525,3,3,2
langflow-ai/langflow,12947,fix: update playwright to 1.59.0,MERGED,2026-04-30T16:13:08Z,2026-04-30T17:45:55Z,2026-04-30T17:45:54Z,1.5461,2,48,48,274,2,3,1
langflow-ai/langflow,12946,fix: Notifications overlap the bottom-center menubar,MERGED,2026-04-30T16:11:34Z,2026-05-05T20:06:41Z,2026-05-05T20:06:41Z,123.9186,1,1,1,1076,3,5,2
langflow-ai/langflow,12945,fix(security): reject symlinks/hardlinks in BaseFileComponent TAR extraction (GHSA-ccv6-r384-xp75),MERGED,2026-04-30T15:53:55Z,2026-04-30T17:45:54Z,2026-04-30T17:45:54Z,1.8664,2,260,4,4157,2,3,2
langflow-ai/langflow,12944,fix: Duplicate lines rendered in the tracing view,MERGED,2026-04-30T15:36:12Z,2026-05-05T14:58:31Z,2026-05-05T14:58:31Z,119.3719,2,16,2,744,3,7,2
langflow-ai/langflow,12941,"fix: Pagination shows ""-19-0 of 0 items"" in traces view when empty",MERGED,2026-04-30T14:15:46Z,2026-05-04T20:04:09Z,2026-05-04T20:04:09Z,101.8064,4,234,3,1031,3,5,3
langflow-ai/langflow,12938,fix(LE-602): Update Pydantic to >=2.13.0 for fastapi-pagination v0.16.0 compatibility,MERGED,2026-04-29T20:13:15Z,2026-04-29T21:40:19Z,2026-04-29T21:40:19Z,1.4511,2,103,107,427,3,3,2
langflow-ai/langflow,12937,docs: wxo deployment is behind feature flag,MERGED,2026-04-29T19:15:31Z,2026-04-29T21:15:21Z,2026-04-29T21:15:21Z,1.9972,2,10,0,117,3,4,2
langflow-ai/langflow,12935,feat: native structured output on AgentComponent with prompt fallback,MERGED,2026-04-29T18:48:47Z,2026-05-05T19:08:58Z,2026-05-05T19:08:58Z,144.3364,36,1825,404,1940,2,4,1
langflow-ai/langflow,12934,fix: namespace inputs.session on build_public_tmp,MERGED,2026-04-29T18:44:09Z,2026-04-29T19:45:41Z,2026-04-29T19:45:41Z,1.0256,5,344,1,1272,3,3,2
langflow-ai/langflow,12931,fix: MCP connection refresh state,MERGED,2026-04-29T17:07:51Z,2026-05-05T02:16:11Z,2026-05-05T02:16:11Z,129.1389,10,499,46,1285,2,3,1
langflow-ai/langflow,12930,fix: Don't show empty category for MCP search in sidebar,MERGED,2026-04-29T15:39:13Z,2026-04-29T21:40:19Z,2026-04-29T21:40:19Z,6.0183,1,34,20,415,2,3,1
langflow-ai/langflow,12928,"feat(i18n): translate default node titles on language change, preserve user-customized names",MERGED,2026-04-29T14:55:05Z,2026-04-29T19:13:49Z,2026-04-29T19:13:49Z,4.3122,8,108,10,1933,2,3,1
langflow-ai/langflow,12926,fix: route custom Loguru logs through Langflow logger,MERGED,2026-04-29T14:28:55Z,2026-04-30T19:10:29Z,2026-04-30T19:10:29Z,28.6928,2,79,10,1650,2,1,1
langflow-ai/langflow,12925,feat: Add draft version CTA in deployment modal,MERGED,2026-04-29T13:44:07Z,2026-04-30T22:13:13Z,2026-04-30T22:13:13Z,32.485,6,141,17,291,2,3,2
langflow-ai/langflow,12924,ref: flip wxo ff,MERGED,2026-04-29T13:43:10Z,2026-04-30T16:31:02Z,2026-04-30T16:31:02Z,26.7978,3,8,2,651,2,3,1
langflow-ai/langflow,12922,docs: add telemetry for deployments endpoints,MERGED,2026-04-28T21:57:09Z,2026-04-30T14:10:53Z,2026-04-30T14:10:53Z,40.2289,2,46,2,7,3,4,10
langflow-ai/langflow,12921,feat(kb): user metadata on ingestion + retrieval,MERGED,2026-04-28T21:40:10Z,2026-05-01T04:12:17Z,2026-05-01T04:12:17Z,54.5353,65,2240,176,15962,2,4,1
langflow-ai/langflow,12918,fix: encode non-ASCII filenames in Content-Disposition headers (RFC 5987),MERGED,2026-04-28T19:45:05Z,2026-05-05T15:49:08Z,2026-05-05T15:49:08Z,164.0675,14,365,31,2389,2,5,2
langflow-ai/langflow,12916,ci: unblock community PRs from spurious CI failures,MERGED,2026-04-28T19:01:57Z,2026-04-28T20:16:33Z,2026-04-28T20:16:33Z,1.2433,2,7,3,1858,2,3,1
langflow-ai/langflow,12911,docs: change upgrade reinstall order,MERGED,2026-04-28T13:30:53Z,2026-04-28T20:44:41Z,2026-04-28T20:44:40Z,7.2297,3,24,45,156,3,5,3
langflow-ai/langflow,12908,fix: prevents credential types vars from being used as inputs/outputs unless specifically typed as secretstr,MERGED,2026-04-27T23:04:33Z,2026-05-04T18:34:17Z,2026-05-04T18:34:17Z,163.4956,35,776,161,3279,3,5,3
langflow-ai/langflow,12907,fix: lfx env var resolution when value is empty,MERGED,2026-04-27T22:09:51Z,2026-04-28T15:20:44Z,2026-04-28T15:20:44Z,17.1814,2,54,23,506,2,3,1
langflow-ai/langflow,12906,fix: fallback to sync call in lfx run when stream=true,MERGED,2026-04-27T20:52:17Z,2026-04-29T15:44:47Z,2026-04-29T15:44:47Z,42.875,44,1392,205,5425,3,3,3
