repo,pr_number,title,status,created_at,closed_at,merged_at,analysis_time_hours,files_changed,lines_added,lines_removed,body_length,participants_count,comments_count,reviews_count
storybookjs/storybook,34707,Maintenance: Enhance ghost stories internal tests,MERGED,2026-05-04T18:29:16Z,2026-05-05T09:58:14Z,2026-05-05T09:58:14Z,15.4828,8,61,60,5065,2,2,3
storybookjs/storybook,34706,UI: Fix showing and hiding copy prompt in the correct scenarios,MERGED,2026-05-04T17:20:03Z,2026-05-05T06:14:17Z,2026-05-05T06:14:17Z,12.9039,7,410,198,5492,2,1,5
storybookjs/storybook,34705,Agentic Setup: Show Discord and human docs only to humans,MERGED,2026-05-04T14:49:10Z,2026-05-04T16:30:07Z,2026-05-04T16:30:07Z,1.6825,2,16,2,571,3,1,3
storybookjs/storybook,34704,Agentic Setup: Keep sample content if users want onboarding,MERGED,2026-05-04T14:48:46Z,2026-05-05T03:20:36Z,2026-05-05T03:20:36Z,12.5306,6,21,5,528,4,1,14
storybookjs/storybook,34699,CLI: Improve self-healing scoring observability,MERGED,2026-05-04T10:46:22Z,2026-05-04T13:49:16Z,2026-05-04T13:49:16Z,3.0483,11,359,113,4924,2,1,5
storybookjs/storybook,34698,Agentic Setup: Remove redundant ai-setup-evidence event,MERGED,2026-05-04T09:54:19Z,2026-05-04T14:54:38Z,2026-05-04T14:54:38Z,5.0053,10,7,688,1235,3,1,5
storybookjs/storybook,34697,Test: Improve stack trace when failing on console.warn/error,MERGED,2026-05-04T09:00:01Z,2026-05-04T10:31:19Z,2026-05-04T10:31:19Z,1.5217,7,272,287,4045,2,1,3
storybookjs/storybook,34696,Agentic Setup: Fix onboarding copy prompt CTA appearing without hover,MERGED,2026-05-04T08:08:10Z,2026-05-04T11:33:02Z,2026-05-04T11:33:02Z,3.4144,1,6,1,547,3,1,2
storybookjs/storybook,34683,"Core: Add ""Clear filters"" button and improve filter tooltips",MERGED,2026-05-01T15:10:04Z,2026-05-05T14:53:29Z,2026-05-05T14:53:29Z,95.7236,12,194,93,3892,2,2,5
storybookjs/storybook,34678,CLI: Fix agentic check,MERGED,2026-04-30T18:29:53Z,2026-05-01T09:01:38Z,2026-05-01T09:01:38Z,14.5292,2,22,2,4762,3,2,3
storybookjs/storybook,34675,Core: Barrel-aware named import resolution for change detection,MERGED,2026-04-30T13:25:12Z,2026-05-05T19:22:59Z,2026-05-05T19:22:59Z,125.9631,23,1336,142,2481,3,6,5
storybookjs/storybook,34670,Telemetry: Fix delayed init events,MERGED,2026-04-30T11:49:07Z,2026-05-01T07:27:21Z,2026-05-01T07:27:21Z,19.6372,7,101,67,4965,4,1,8
storybookjs/storybook,34667,Chore: Move eslint-plugin lib formatting to oxfmt,MERGED,2026-04-30T10:16:03Z,2026-05-04T13:48:39Z,2026-05-04T13:48:39Z,99.5433,19,96,73,4186,3,1,4
storybookjs/storybook,34666,Chore: Ignore eslint-plugin.mdx for oxfmt,CLOSED,2026-04-30T10:00:30Z,2026-05-04T13:58:07Z,,99.9603,2,18,18,4058,3,2,3
storybookjs/storybook,34665,ReactNative: New init setup,MERGED,2026-04-30T08:53:06Z,2026-05-05T08:49:27Z,2026-05-05T08:49:27Z,119.9392,6,450,21,5159,4,2,14
storybookjs/storybook,34663,ReactNative: Add true entrypoint generation,MERGED,2026-04-30T08:27:36Z,2026-05-04T14:47:57Z,2026-05-04T14:47:57Z,102.3392,6,412,0,3756,4,1,8
storybookjs/storybook,34662,"Prompt: Run vitest less times, improve play functions",CLOSED,2026-04-30T08:21:30Z,2026-04-30T12:30:46Z,,4.1544,9,349,34,4036,1,3,1
storybookjs/storybook,34660,ReactNative: Add Metro config AST codemod for init,MERGED,2026-04-30T07:44:37Z,2026-05-05T07:35:24Z,2026-05-05T07:35:24Z,119.8464,2,1076,0,3690,4,2,13
storybookjs/storybook,34659,Automigration: Move RN on-device addons to `deviceAddons`,MERGED,2026-04-30T07:32:57Z,2026-05-04T07:29:22Z,2026-05-04T07:29:22Z,95.9403,4,553,0,7057,4,1,12
storybookjs/storybook,34654,Docs: Improve `fn` details for Actions,MERGED,2026-04-29T17:44:59Z,2026-04-29T23:28:26Z,2026-04-29T23:28:26Z,5.7242,1,11,5,2028,3,1,4
storybookjs/storybook,34653,Maintenance: Share constant for `.rnstorybook`,MERGED,2026-04-29T15:17:47Z,2026-04-30T07:16:51Z,2026-04-30T07:16:51Z,15.9844,4,10,7,3426,3,1,3
storybookjs/storybook,34652,"Core: Update change detection terminology from ""affected"" to ""related""",MERGED,2026-04-29T12:10:39Z,2026-04-30T22:49:59Z,2026-04-30T22:49:59Z,34.6556,12,63,50,3859,2,2,2
storybookjs/storybook,34651,"Prompt: Run vitest fewer times, improve play functions",MERGED,2026-04-29T07:58:41Z,2026-05-04T14:32:18Z,2026-05-04T14:32:18Z,126.5603,46,1453,157,4387,3,2,18
storybookjs/storybook,34650,CLI: Do not show onboarding when AI is selected,MERGED,2026-04-29T06:23:18Z,2026-04-29T14:48:57Z,2026-04-29T14:48:57Z,8.4275,3,52,2,5117,2,2,9
storybookjs/storybook,34646,Docs: Fix Fully custom args example for Web components with CSF Next,MERGED,2026-04-28T07:40:15Z,2026-04-28T23:09:55Z,2026-04-28T23:09:55Z,15.4944,1,1,1,3051,2,1,1
storybookjs/storybook,34642,Build: Stop writing version JSON-files when publishing,MERGED,2026-04-27T11:41:13Z,2026-04-27T14:57:36Z,2026-04-27T14:57:36Z,3.2731,8,4,81,4153,2,2,2
storybookjs/storybook,34641,React: Add optional React type peers to packages that publish React-based declarations,MERGED,2026-04-27T09:42:22Z,2026-04-28T14:42:08Z,2026-04-28T14:42:07Z,28.9958,8,83,0,5425,3,3,2
storybookjs/storybook,34639,Docs: Add tanstack documentation,MERGED,2026-04-27T08:04:59Z,2026-05-05T18:51:44Z,2026-05-05T18:51:44Z,202.7792,19,1020,2,3736,3,1,16
storybookjs/storybook,34638,fix: the github api client in scripts/utils/githubcl... in...,CLOSED,2026-04-27T03:39:15Z,2026-04-27T08:46:43Z,,5.1244,1,1,1,1306,3,2,2
storybookjs/storybook,34637,fix: the github api client at scripts/utils/githubcl... in...,CLOSED,2026-04-27T03:37:53Z,2026-04-27T08:46:43Z,,5.1472,1,5,1,1440,2,2,1
storybookjs/storybook,34635,fix: the http endpoint /manifests/:name in manifests.ts,CLOSED,2026-04-27T01:53:01Z,2026-04-27T08:46:42Z,,6.8947,1,8,2,1601,2,2,1
storybookjs/storybook,34634,fix: Storybook + Next + Netlify,CLOSED,2026-04-26T18:08:33Z,2026-04-27T07:22:56Z,,13.2397,1,10,0,1267,2,1,1
storybookjs/storybook,34633,"fix: upgrade form-data to 2.5.4, 3.0.4, 4.0.4 (CVE-2025-7783)",CLOSED,2026-04-26T09:59:22Z,2026-04-27T08:46:43Z,,22.7892,2,27,2,816,2,2,1
storybookjs/storybook,34632,docs: prefer userEvent in unit test examples,MERGED,2026-04-26T01:21:52Z,2026-05-01T17:31:51Z,2026-05-01T17:31:51Z,136.1664,4,89,34,1527,3,3,1
storybookjs/storybook,34625,Change Detection: Build module graph with oxc tooling,MERGED,2026-04-24T13:12:47Z,2026-05-05T14:14:53Z,2026-05-05T14:14:53Z,265.035,68,6178,1410,7238,4,6,16
storybookjs/storybook,34622,fix: upgrade happy-dom to 20.0.0 (CVE-2025-61927),CLOSED,2026-04-24T09:39:48Z,2026-04-27T08:46:42Z,,71.115,2,16,1,848,2,2,1
storybookjs/storybook,34618,Ci: Allow branch selection for sandbox generation,MERGED,2026-04-23T19:38:48Z,2026-04-27T11:15:26Z,2026-04-27T11:15:25Z,87.6103,1,32,78,4084,2,2,2
storybookjs/storybook,34612,Eval: Add sync-storybook-version harness + --skip-automigrations upgrade flag,MERGED,2026-04-22T11:59:54Z,2026-04-28T07:56:11Z,2026-04-28T07:56:11Z,139.9381,7,762,5,5669,2,3,2
storybookjs/storybook,34611,MDX: Replace `@storybook/docs-mdx` with inline implementation,MERGED,2026-04-22T09:13:31Z,2026-05-05T09:28:21Z,2026-05-05T09:28:21Z,312.2472,7,700,16,5336,3,7,8
storybookjs/storybook,34606,Show currently visible count in TagsFilterPanel,CLOSED,2026-04-21T17:18:48Z,2026-04-21T18:34:09Z,,1.2558,4,135,6,3785,1,1,1
