repo,pr_number,title,status,created_at,closed_at,merged_at,analysis_time_hours,files_changed,lines_added,lines_removed,body_length,participants_count,comments_count,reviews_count
deepseek-ai/DeepSeek-V3,946,Optimized Text,CLOSED,2025-08-01T04:24:58Z,2025-09-29T03:35:33Z,,1415.1764,1,1,8,0,2,0,1
deepseek-ai/DeepSeek-V3,729,add intro file,CLOSED,2025-02-28T20:48:46Z,2025-04-01T14:00:19Z,,761.1925,1,165,0,74,2,5,1
deepseek-ai/DeepSeek-V3,701,Add me as contributor of Amharic and Oromo Language Translator,CLOSED,2025-02-22T01:11:36Z,2025-04-08T09:45:16Z,,1088.5611,1,2,6,106,3,0,1
deepseek-ai/DeepSeek-V3,700,Create CODE_OF_CONDUCT.md,CLOSED,2025-02-21T21:21:43Z,2025-04-08T09:45:30Z,,1092.3964,1,128,0,0,3,0,1
deepseek-ai/DeepSeek-V3,657,[Edited] Fix minor bug in the main function,CLOSED,2025-02-13T16:58:07Z,2025-04-08T09:48:56Z,,1288.8469,2,4,0,90,5,2,1
deepseek-ai/DeepSeek-V3,600,Minor grammatical tense corrections to README.md,CLOSED,2025-02-07T06:02:12Z,2025-02-08T02:45:11Z,,20.7164,1,5,5,86,3,2,1
deepseek-ai/DeepSeek-V3,593,chore: add issue template config and fix documentation issues,CLOSED,2025-02-06T10:58:55Z,2025-02-08T02:44:38Z,,39.7619,2,8,3,1233,3,2,1
deepseek-ai/DeepSeek-V3,584,Set up a small multinode addcmul test,CLOSED,2025-02-05T17:40:40Z,2025-02-05T21:10:51Z,,3.5031,4,357,0,0,2,0,1
deepseek-ai/DeepSeek-V3,580,Improve docs gate bias,CLOSED,2025-02-05T13:39:07Z,2025-02-06T07:55:20Z,,18.2703,1,1,0,62,3,0,1
deepseek-ai/DeepSeek-V3,565,updated Model Summary verbiage to be past tense for easier understanding,CLOSED,2025-02-04T18:12:46Z,2025-02-06T07:56:44Z,,37.7328,1,6,6,5,4,2,1
deepseek-ai/DeepSeek-V3,564,Update requirements.txt,CLOSED,2025-02-04T17:56:43Z,2025-02-26T05:22:46Z,,515.4342,1,3,3,202,7,12,5
deepseek-ai/DeepSeek-V3,530,"Saw the file to spy on it, hehehehe",CLOSED,2025-02-01T22:28:14Z,2025-02-06T07:59:51Z,,105.5269,1,113,107,0,4,1,1
deepseek-ai/DeepSeek-V3,528,Fix table bold formatting in TriviaQA EM comparison,MERGED,2025-02-01T18:39:23Z,2025-02-05T08:33:18Z,2025-02-05T08:33:18Z,85.8986,1,1,1,262,4,0,2
deepseek-ai/DeepSeek-V3,481,Improve Weight File Documentation for Clarity and Readability,CLOSED,2025-01-30T10:37:29Z,2025-04-26T13:19:57Z,,2066.7078,1,28,30,379,3,2,1
deepseek-ai/DeepSeek-V3,459,Added optional GPU Memory Logging,CLOSED,2025-01-29T17:03:15Z,2025-02-27T10:52:00Z,,689.8125,1,24,0,851,4,4,1
deepseek-ai/DeepSeek-V3,444,Refactored/codebase By defining different classes for different operations and much more,CLOSED,2025-01-29T05:17:56Z,2025-10-04T12:49:03Z,,5959.5186,4,743,446,4596,5,6,3
deepseek-ai/DeepSeek-V3,441,Cleanup README,CLOSED,2025-01-28T23:14:42Z,2025-02-05T15:16:26Z,,184.0289,1,2,2,762,7,4,4
deepseek-ai/DeepSeek-V3,432,docs: remove redundant asterisks in note,MERGED,2025-01-28T19:20:00Z,2025-02-05T08:53:53Z,2025-02-05T08:53:53Z,181.5647,1,2,2,119,3,0,1
deepseek-ai/DeepSeek-V3,422,add link to readme,CLOSED,2025-01-28T17:18:57Z,2025-02-11T21:07:15Z,,339.805,1,1,1,41,3,0,2
deepseek-ai/DeepSeek-V3,419,Update README.md,CLOSED,2025-01-28T16:24:55Z,2025-02-05T04:05:09Z,,179.6706,1,1,1,20,3,1,1
deepseek-ai/DeepSeek-V3,399,On macOS we can use Ollama and Kerlig,CLOSED,2025-01-28T07:16:28Z,2025-02-05T04:00:10Z,,188.7283,1,1,1,0,3,2,1
